ID_transacao,data,corredor,valor_enviado,taxa_de_cambio,fee_percent,ID_cliente
59,2024-06-11 20:00:00,Reino Unido -> Quénia,708.84,158.0481,0.0112,C144
60,2024-02-12 03:00:00,Reino Unido -> Quénia,441.0,156.168,0.0144,C1091
61,2024-06-11 01:00:00,Portugal -> Moçambique,816.86,68.6286,0.0361,C1701
62,2024-01-28 11:00:00,EUA -> Brasil,56.03,5.0721,0.0183,C48
63,2024-05-20 11:00:00,Reino Unido -> Quénia,980.33,152.2514,0.0159,C601
64,2024-07-26 02:00:00,Reino Unido -> Quénia,612.27,158.5805,0.0149,C1681
65,2024-06-22 16:00:00,Reino Unido -> Quénia,997.92,157.9782,0.0145,C927
66,2024-05-21 22:00:00,Reino Unido -> Quénia,710.71,156.1186,0.0154,C2475
67,2024-10-16 22:00:00,Reino Unido -> Quénia,725.84,156.1837,0.0139,C799
68,2024-03-06 05:00:00,Reino Unido -> Quénia,754.2,155.6572,0.011,C2880
69,2024-05-03 03:00:00,Portugal -> Moçambique,138.57,66.814,0.0425,C1433
70,2024-08-04 02:00:00,Reino Unido -> Quénia,940.29,154.5832,0.0133,C988
71,2024-09-01 08:00:00,EUA -> Brasil,720.27,5.1998,0.0344,C170
72,2024-07-06 21:00:00,Portugal -> Moçambique,528.74,69.2131,0.0435,C750
73,2024-10-24 21:00:00,Reino Unido -> Quénia,493.16,150.1227,0.0182,C1739
74,2024-11-28 19:00:00,Portugal -> Moçambique,747.38,68.7303,0.0299,C1116
75,2024-12-20 14:00:00,Portugal -> Moçambique,955.37,65.0573,0.0434,C1126
76,2024-09-05 03:00:00,Reino Unido -> Quénia,358.77,151.9607,0.0153,C333
77,2024-06-27 04:00:00,Reino Unido -> Quénia,908.1,155.1433,0.0172,C1402
78,2024-07-21 21:00:00,Reino Unido -> Quénia,489.72,154.2211,0.0102,C85
79,2024-10-09 07:00:00,Portugal -> Moçambique,608.19,67.0917,0.0364,C2155
80,2024-08-18 15:00:00,EUA -> Brasil,741.9,5.0768,0.0213,C1760
81,2024-10-06 21:00:00,EUA -> Brasil,878.22,5.4249,0.0344,C732
82,2024-12-09 22:00:00,Portugal -> Moçambique,185.87,68.7824,0.0393,C825
83,2024-12-15 21:00:00,Reino Unido -> Quénia,579.19,156.2493,0.0174,C239
84,2024-12-29 02:00:00,Reino Unido -> Quénia,811.82,156.1957,0.0181,C86
85,2024-04-28 18:00:00,EUA -> Brasil,810.34,5.1965,0.0263,C453
86,2024-01-22 05:00:00,Portugal -> Moçambique,653.95,69.1338,0.037,C2238
87,2024-10-11 20:00:00,Reino Unido -> Quénia,603.62,155.1154,0.0172,C2459
88,2024-08-05 15:00:00,Reino Unido -> Quénia,186.32,154.1822,0.0167,C901
89,2024-09-22 10:00:00,Portugal -> Moçambique,134.39,66.698,0.0334,C817
90,2024-09-20 08:00:00,Portugal -> Moçambique,398.6,69.8493,0.0432,C2349
91,2024-02-04 06:00:00,EUA -> Brasil,483.23,5.006,0.03,C2189
92,2024-11-27 08:00:00,Reino Unido -> Quénia,974.15,156.5073,0.0124,C156
93,2024-03-16 23:00:00,EUA -> Brasil,900.33,5.1321,0.0312,C1088
94,2024-08-29 17:00:00,EUA -> Brasil,571.42,5.225,0.0314,C2247
95,2024-06-24 07:00:00,Portugal -> Moçambique,405.93,68.4997,0.0407,C2914
96,2024-09-28 03:00:00,EUA -> Brasil,323.91,5.4569,0.0231,C2911
97,2024-04-10 23:00:00,Portugal -> Moçambique,271.48,66.5027,0.0342,C2350
98,2024-03-04 05:00:00,Portugal -> Moçambique,251.39,67.9743,0.0299,C1132
99,2024-06-18 19:00:00,EUA -> Brasil,475.0,5.0069,0.0173,C3000
100,2024-04-01 17:00:00,Reino Unido -> Quénia,836.37,159.1035,0.0171,C752
101,2024-12-20 12:00:00,EUA -> Brasil,540.71,5.2476,0.0269,C1549
102,2024-03-05 20:00:00,Portugal -> Moçambique,276.89,69.8351,0.026,C2626
103,2024-05-06 23:00:00,EUA -> Brasil,246.33,5.371,0.0215,C341
104,2024-06-06 23:00:00,EUA -> Brasil,868.81,5.3364,0.0189,C589
105,2024-09-01 05:00:00,EUA -> Brasil,615.63,5.1976,0.0323,C2445
106,2024-04-17 23:00:00,EUA -> Brasil,911.49,5.3712,0.0175,C2796
107,2024-08-09 01:00:00,Reino Unido -> Quénia,817.43,157.267,0.0108,C2919
108,2024-12-29 09:00:00,Reino Unido -> Quénia,400.04,156.7761,0.0106,C2818
109,2024-11-07 23:00:00,EUA -> Brasil,919.9,5.2197,0.0158,C653
110,2024-11-26 11:00:00,EUA -> Brasil,563.59,5.2819,0.0323,C2691
111,2024-09-20 09:00:00,Portugal -> Moçambique,103.81,69.2993,0.028,C2207
112,2024-06-12 07:00:00,Portugal -> Moçambique,518.3,69.3679,0.0269,C2274
113,2024-12-06 14:00:00,EUA -> Brasil,827.29,5.3788,0.0207,C1947
114,2024-09-19 21:00:00,Reino Unido -> Quénia,937.79,153.9116,0.014,C1973
115,2024-03-11 05:00:00,Portugal -> Moçambique,394.68,65.3951,0.0281,C36
116,2024-06-02 12:00:00,Reino Unido -> Quénia,841.39,158.9499,0.0134,C2009
117,2024-09-09 14:00:00,Reino Unido -> Quénia,475.35,153.1238,0.0193,C1867
118,2024-06-19 06:00:00,EUA -> Brasil,60.55,5.4204,0.024,C487
119,2024-02-22 12:00:00,Portugal -> Moçambique,149.79,66.8244,0.043,C1160
120,2024-05-29 07:00:00,EUA -> Brasil,181.01,5.0454,0.0153,C2549
121,2024-07-16 15:00:00,EUA -> Brasil,350.63,5.187,0.0237,C2135
122,2024-06-17 10:00:00,EUA -> Brasil,440.37,5.0676,0.0331,C1035
123,2024-04-25 10:00:00,EUA -> Brasil,164.67,5.385,0.0266,C2896
124,2024-01-16 20:00:00,Portugal -> Moçambique,819.79,69.7408,0.0351,C528
125,2024-02-01 01:00:00,Portugal -> Moçambique,718.04,67.445,0.026,C2026
126,2024-05-09 14:00:00,EUA -> Brasil,447.24,5.306,0.0319,C2809
127,2024-11-25 22:00:00,EUA -> Brasil,752.36,5.0111,0.0212,C2806
128,2024-04-11 05:00:00,Reino Unido -> Quénia,973.03,156.6514,0.0181,C850
129,2024-01-22 09:00:00,Reino Unido -> Quénia,739.64,153.0167,0.0157,C541
130,2024-04-12 15:00:00,Reino Unido -> Quénia,869.65,154.7397,0.0196,C258
131,2024-02-02 05:00:00,Reino Unido -> Quénia,267.16,154.4221,0.0183,C1400
132,2024-10-28 18:00:00,Reino Unido -> Quénia,58.0,156.8327,0.0141,C2864
133,2024-04-24 15:00:00,Portugal -> Moçambique,405.31,69.3091,0.0375,C2010
134,2024-03-10 08:00:00,EUA -> Brasil,898.58,5.2832,0.0247,C389
135,2024-05-27 17:00:00,EUA -> Brasil,863.89,5.3118,0.0223,C1433
136,2024-12-30 18:00:00,EUA -> Brasil,452.41,5.1865,0.0293,C212
137,2024-08-20 07:00:00,Portugal -> Moçambique,412.28,66.126,0.032,C2603
138,2024-04-26 00:00:00,Reino Unido -> Quénia,357.1,153.0512,0.014,C649
139,2024-02-09 15:00:00,Reino Unido -> Quénia,831.39,157.4255,0.0166,C1351
140,2024-08-23 06:00:00,EUA -> Brasil,273.39,5.2345,0.0173,C1795
141,2024-10-29 20:00:00,Reino Unido -> Quénia,134.26,157.8903,0.017,C916
142,2024-11-08 00:00:00,Reino Unido -> Quénia,273.8,152.5573,0.0109,C1775
143,2024-06-10 13:00:00,Reino Unido -> Quénia,850.86,159.2161,0.0119,C2052
144,2024-11-19 04:00:00,EUA -> Brasil,479.26,5.4949,0.0232,C1910
145,2024-05-18 22:00:00,EUA -> Brasil,679.2,5.3548,0.0172,C789
146,2024-03-14 17:00:00,EUA -> Brasil,746.53,5.2359,0.0215,C2190
147,2024-03-04 18:00:00,Reino Unido -> Quénia,272.79,153.5468,0.0151,C1850
148,2024-04-07 11:00:00,Reino Unido -> Quénia,760.83,157.6251,0.0163,C70
149,2024-09-21 16:00:00,EUA -> Brasil,857.49,5.0805,0.0328,C1638
150,2024-08-06 09:00:00,Portugal -> Moçambique,385.88,65.6096,0.0368,C2037
151,2024-03-29 04:00:00,EUA -> Brasil,560.98,5.1369,0.0163,C1475
152,2024-12-08 00:00:00,Reino Unido -> Quénia,929.38,154.3788,0.0185,C1541
153,2024-08-13 17:00:00,Portugal -> Moçambique,982.02,68.9538,0.0422,C1449
154,2024-05-24 08:00:00,EUA -> Brasil,237.67,5.1517,0.0248,C2764
155,2024-07-13 12:00:00,EUA -> Brasil,738.81,5.0076,0.0284,C1512
156,2024-05-30 06:00:00,Portugal -> Moçambique,905.94,68.3377,0.0386,C2531
157,2024-10-01 03:00:00,Reino Unido -> Quénia,699.99,157.4611,0.0168,C876
158,2024-04-03 20:00:00,Reino Unido -> Quénia,176.1,155.6951,0.0131,C1659
159,2024-12-08 05:00:00,EUA -> Brasil,876.03,5.1595,0.0227,C1642
160,2024-08-21 07:00:00,Portugal -> Moçambique,422.79,65.24,0.0332,C2657
161,2024-07-13 09:00:00,EUA -> Brasil,671.11,5.4872,0.0156,C266
162,2024-07-20 20:00:00,EUA -> Brasil,862.96,5.0499,0.0304,C2056
163,2024-03-28 20:00:00,EUA -> Brasil,274.57,5.1032,0.0296,C831
164,2024-03-03 19:00:00,EUA -> Brasil,103.5,5.2944,0.0343,C677
165,2024-11-23 12:00:00,Reino Unido -> Quénia,816.57,154.4007,0.0108,C1089
166,2024-04-22 02:00:00,Reino Unido -> Quénia,513.73,152.6455,0.0155,C1414
167,2024-01-07 23:00:00,Reino Unido -> Quénia,115.79,156.4441,0.0145,C169
168,2024-04-26 14:00:00,Portugal -> Moçambique,462.33,65.3588,0.039,C1213
169,2024-03-21 21:00:00,EUA -> Brasil,88.51,5.2375,0.0312,C2892
170,2024-05-16 08:00:00,Portugal -> Moçambique,279.91,69.6908,0.0264,C1766
171,2024-03-24 10:00:00,EUA -> Brasil,646.55,5.3021,0.0169,C2762
172,2024-12-08 03:00:00,Reino Unido -> Quénia,183.05,159.2905,0.0195,C1014
173,2024-01-01 05:00:00,Reino Unido -> Quénia,837.38,156.2439,0.0119,C46
174,2024-01-02 06:00:00,Portugal -> Moçambique,116.65,69.0638,0.0383,C521
175,2024-05-06 23:00:00,EUA -> Brasil,533.14,5.1892,0.0206,C2805
176,2024-04-07 19:00:00,Reino Unido -> Quénia,837.91,158.6688,0.0199,C2959
177,2024-03-15 13:00:00,Reino Unido -> Quénia,180.64,156.4243,0.0165,C1494
178,2024-09-06 09:00:00,Reino Unido -> Quénia,187.23,155.067,0.0126,C1384
179,2024-11-21 12:00:00,EUA -> Brasil,866.68,5.4304,0.0152,C2887
180,2024-06-04 20:00:00,EUA -> Brasil,89.12,5.2543,0.0324,C2879
181,2024-07-29 23:00:00,EUA -> Brasil,295.94,5.1106,0.0298,C2712
182,2024-11-22 10:00:00,Portugal -> Moçambique,862.92,68.7888,0.0423,C1037
183,2024-04-21 03:00:00,Reino Unido -> Quénia,208.97,154.6608,0.0157,C1594
184,2024-08-18 16:00:00,Reino Unido -> Quénia,628.93,153.7482,0.0107,C2185
185,2024-09-15 20:00:00,Reino Unido -> Quénia,548.95,159.1886,0.0116,C2364
186,2024-01-16 00:00:00,Reino Unido -> Quénia,574.09,155.7876,0.0172,C220
187,2024-07-20 02:00:00,EUA -> Brasil,889.23,5.2163,0.0253,C1923
188,2024-10-01 02:00:00,Reino Unido -> Quénia,653.39,151.5777,0.0128,C2730
189,2024-08-07 12:00:00,Portugal -> Moçambique,862.81,67.3938,0.0408,C416
190,2024-11-17 21:00:00,Portugal -> Moçambique,695.53,67.7747,0.0422,C1633
191,2024-04-16 10:00:00,EUA -> Brasil,262.21,5.2511,0.0165,C659
192,2024-10-21 21:00:00,Portugal -> Moçambique,394.09,67.8675,0.0362,C1593
193,2024-07-01 06:00:00,Reino Unido -> Quénia,130.21,151.4443,0.0106,C1420
194,2024-02-16 13:00:00,EUA -> Brasil,435.02,5.0052,0.0289,C1127
195,2024-10-29 05:00:00,EUA -> Brasil,405.2,5.3814,0.0178,C143
196,2024-04-29 02:00:00,Portugal -> Moçambique,794.53,65.5107,0.035,C1205
197,2024-03-03 20:00:00,Reino Unido -> Quénia,291.43,155.1232,0.0189,C2273
198,2024-08-26 04:00:00,EUA -> Brasil,391.3,5.1337,0.0199,C2194
199,2024-12-02 00:00:00,EUA -> Brasil,285.15,5.1847,0.0303,C174
200,2024-11-21 00:00:00,Portugal -> Moçambique,887.82,67.6771,0.0276,C1862
201,2024-08-06 04:00:00,Portugal -> Moçambique,380.45,65.1252,0.0412,C1083
202,2024-03-04 22:00:00,EUA -> Brasil,175.86,5.435,0.0303,C1655
203,2024-08-11 15:00:00,EUA -> Brasil,546.13,5.2522,0.0194,C2729
204,2024-10-06 17:00:00,Portugal -> Moçambique,752.02,68.957,0.0396,C80
205,2024-07-25 07:00:00,Reino Unido -> Quénia,981.45,152.3519,0.0195,C2322
206,2024-11-08 01:00:00,EUA -> Brasil,368.62,5.2392,0.0175,C450
207,2024-06-22 00:00:00,EUA -> Brasil,398.88,5.3391,0.0305,C1563
208,2024-03-25 22:00:00,Portugal -> Moçambique,507.27,66.192,0.0416,C1839
209,2024-09-01 03:00:00,Portugal -> Moçambique,865.4,67.3215,0.0277,C2926
210,2024-05-27 04:00:00,Portugal -> Moçambique,835.78,69.3841,0.0449,C633
211,2024-06-08 19:00:00,Portugal -> Moçambique,333.29,69.3012,0.0378,C1881
212,2024-12-22 12:00:00,Portugal -> Moçambique,510.98,69.9675,0.0282,C2653
213,2024-09-19 06:00:00,Portugal -> Moçambique,574.28,65.3249,0.0423,C1835
214,2024-05-27 20:00:00,Reino Unido -> Quénia,543.34,152.6207,0.0174,C1103
215,2024-12-17 11:00:00,EUA -> Brasil,341.91,5.2094,0.0221,C1106
216,2024-04-05 21:00:00,Reino Unido -> Quénia,299.97,158.6142,0.0187,C1961
217,2024-06-06 21:00:00,Portugal -> Moçambique,478.91,66.2781,0.0299,C2909
218,2024-06-16 01:00:00,Portugal -> Moçambique,837.61,68.9227,0.0408,C1054
219,2024-08-10 14:00:00,EUA -> Brasil,636.46,5.1207,0.0153,C2682
220,2024-12-29 13:00:00,Portugal -> Moçambique,980.77,68.6748,0.0306,C602
221,2024-12-02 23:00:00,Reino Unido -> Quénia,236.47,153.2183,0.0168,C2821
222,2024-01-14 05:00:00,EUA -> Brasil,678.55,5.3179,0.0206,C521
223,2024-02-15 10:00:00,Reino Unido -> Quénia,768.19,152.8435,0.0186,C401
224,2024-08-19 12:00:00,Reino Unido -> Quénia,232.62,159.6065,0.0198,C1793
225,2024-06-14 16:00:00,EUA -> Brasil,593.8,5.4976,0.0162,C2135
226,2024-11-16 19:00:00,Reino Unido -> Quénia,56.44,159.4836,0.0193,C212
227,2024-10-31 11:00:00,EUA -> Brasil,631.6,5.3163,0.0299,C1667
228,2024-10-31 13:00:00,EUA -> Brasil,887.42,5.167,0.0318,C229
229,2024-09-01 11:00:00,EUA -> Brasil,330.07,5.114,0.0228,C2667
230,2024-12-10 05:00:00,EUA -> Brasil,270.03,5.033,0.0166,C2941
231,2024-04-06 23:00:00,Portugal -> Moçambique,90.09,68.1142,0.0432,C573
232,2024-10-11 17:00:00,EUA -> Brasil,961.81,5.3925,0.0334,C1536
233,2024-04-06 07:00:00,Reino Unido -> Quénia,907.26,154.4188,0.0164,C1184
234,2024-08-19 22:00:00,Reino Unido -> Quénia,334.65,151.3461,0.0172,C140
235,2024-08-16 11:00:00,Reino Unido -> Quénia,363.78,156.0168,0.0164,C1036
236,2024-10-11 16:00:00,EUA -> Brasil,627.25,5.1991,0.032,C2990
237,2024-06-10 09:00:00,Portugal -> Moçambique,461.92,65.2574,0.0338,C960
238,2024-06-04 00:00:00,Portugal -> Moçambique,347.11,65.6758,0.0391,C1440
239,2024-05-11 03:00:00,Reino Unido -> Quénia,835.57,154.5661,0.0142,C23
240,2024-10-17 18:00:00,Portugal -> Moçambique,352.88,66.97,0.0443,C440
241,2024-10-26 23:00:00,Portugal -> Moçambique,958.19,66.4713,0.0271,C1914
242,2024-02-10 19:00:00,EUA -> Brasil,253.85,5.3924,0.0337,C1646
243,2024-07-07 11:00:00,EUA -> Brasil,478.36,5.3107,0.0324,C10
244,2024-02-27 09:00:00,Reino Unido -> Quénia,204.27,150.6631,0.0169,C2926
245,2024-05-16 08:00:00,EUA -> Brasil,74.23,5.1083,0.0324,C1793
246,2024-02-08 20:00:00,EUA -> Brasil,256.06,5.2342,0.0254,C968
247,2024-02-19 12:00:00,Portugal -> Moçambique,91.32,65.2349,0.0293,C715
248,2024-03-19 06:00:00,Reino Unido -> Quénia,391.84,150.9544,0.0104,C863
249,2024-03-01 05:00:00,Portugal -> Moçambique,596.36,67.4187,0.0439,C2747
250,2024-08-30 21:00:00,Portugal -> Moçambique,628.83,69.7821,0.0268,C2229
251,2024-11-30 09:00:00,EUA -> Brasil,991.07,5.4316,0.0228,C955
252,2024-04-09 03:00:00,Portugal -> Moçambique,713.52,65.0367,0.0389,C2752
253,2024-02-11 07:00:00,Portugal -> Moçambique,257.02,65.6976,0.0396,C2484
254,2024-06-21 00:00:00,EUA -> Brasil,822.13,5.3776,0.0163,C2947
255,2024-09-16 11:00:00,Portugal -> Moçambique,403.67,68.6205,0.0416,C196
256,2024-06-19 15:00:00,Reino Unido -> Quénia,821.1,154.4075,0.012,C2954
257,2024-06-02 21:00:00,EUA -> Brasil,664.13,5.3258,0.0331,C2551
258,2024-01-22 20:00:00,Portugal -> Moçambique,124.75,69.9666,0.0422,C2150
259,2024-03-20 22:00:00,Reino Unido -> Quénia,633.52,152.2079,0.0139,C2768
260,2024-03-16 21:00:00,Reino Unido -> Quénia,777.29,159.4939,0.0189,C1992
261,2024-12-24 02:00:00,Reino Unido -> Quénia,187.05,156.7643,0.0142,C864
262,2024-10-26 19:00:00,Portugal -> Moçambique,794.95,68.3841,0.0389,C1419
263,2024-10-27 20:00:00,EUA -> Brasil,63.89,5.4064,0.0319,C1913
264,2024-01-04 15:00:00,EUA -> Brasil,815.68,5.0077,0.0214,C1514
265,2024-04-17 23:00:00,EUA -> Brasil,313.82,5.1066,0.0311,C2345
266,2024-05-09 21:00:00,Reino Unido -> Quénia,475.43,153.9293,0.0117,C1367
267,2024-05-18 11:00:00,Reino Unido -> Quénia,638.77,154.3403,0.0124,C2951
268,2024-06-03 13:00:00,Portugal -> Moçambique,233.92,68.1548,0.0381,C1784
269,2024-09-10 08:00:00,EUA -> Brasil,634.51,5.2574,0.0239,C477
270,2024-10-29 09:00:00,Reino Unido -> Quénia,353.71,159.3247,0.0149,C2934
271,2024-04-15 16:00:00,Portugal -> Moçambique,939.48,65.8986,0.0396,C2147
272,2024-08-13 19:00:00,Reino Unido -> Quénia,625.69,153.318,0.0171,C513
273,2024-01-12 09:00:00,Portugal -> Moçambique,329.06,66.1895,0.0258,C1380
274,2024-04-15 04:00:00,Reino Unido -> Quénia,341.96,153.1665,0.0115,C2260
275,2024-04-08 19:00:00,Reino Unido -> Quénia,726.35,158.4441,0.0171,C545
276,2024-03-12 21:00:00,Portugal -> Moçambique,566.11,67.5552,0.0402,C576
277,2024-06-11 20:00:00,Reino Unido -> Quénia,319.59,158.5439,0.0126,C2606
278,2024-04-28 16:00:00,Reino Unido -> Quénia,370.14,152.5773,0.0125,C1689
279,2024-02-15 18:00:00,EUA -> Brasil,534.61,5.1228,0.0156,C704
280,2024-12-10 01:00:00,Portugal -> Moçambique,249.92,66.2901,0.0355,C932
281,2024-03-27 07:00:00,Portugal -> Moçambique,405.33,68.0661,0.031,C1954
282,2024-04-17 20:00:00,EUA -> Brasil,681.73,5.2963,0.0228,C993
283,2024-07-01 10:00:00,Reino Unido -> Quénia,446.86,154.9442,0.0106,C560
284,2024-11-30 15:00:00,EUA -> Brasil,374.63,5.3575,0.0193,C142
285,2024-11-20 14:00:00,Portugal -> Moçambique,258.22,66.7992,0.0312,C1208
286,2024-03-20 22:00:00,EUA -> Brasil,209.72,5.3847,0.0249,C2233
287,2024-01-22 21:00:00,Reino Unido -> Quénia,284.06,158.0949,0.0126,C877
288,2024-11-05 12:00:00,EUA -> Brasil,876.29,5.1065,0.0318,C1212
289,2024-04-04 12:00:00,Reino Unido -> Quénia,284.11,158.3737,0.0157,C1553
290,2024-04-16 06:00:00,Reino Unido -> Quénia,677.2,155.4149,0.0176,C1088
291,2024-10-10 04:00:00,Portugal -> Moçambique,727.63,65.7907,0.0253,C1229
292,2024-11-15 21:00:00,Portugal -> Moçambique,80.62,68.8433,0.0275,C1811
293,2024-01-29 23:00:00,Reino Unido -> Quénia,443.43,154.6118,0.0155,C583
294,2024-03-29 07:00:00,EUA -> Brasil,388.02,5.1244,0.0158,C2408
295,2024-09-11 09:00:00,EUA -> Brasil,798.1,5.4105,0.0155,C295
296,2024-07-02 03:00:00,Reino Unido -> Quénia,896.5,151.8836,0.0137,C982
297,2024-06-25 16:00:00,EUA -> Brasil,700.69,5.1144,0.028,C469
298,2024-05-18 07:00:00,EUA -> Brasil,538.42,5.1884,0.0232,C2531
299,2024-02-06 23:00:00,Reino Unido -> Quénia,496.69,156.0817,0.0167,C2209
300,2024-09-02 16:00:00,EUA -> Brasil,795.31,5.242,0.0316,C829
301,2024-05-06 07:00:00,EUA -> Brasil,957.33,5.2307,0.0237,C1673
302,2024-03-30 08:00:00,Portugal -> Moçambique,849.44,68.2512,0.0401,C1659
303,2024-05-13 07:00:00,Portugal -> Moçambique,424.48,65.1842,0.0258,C2188
304,2024-09-19 21:00:00,Reino Unido -> Quénia,488.39,157.3699,0.0159,C1675
305,2024-11-18 06:00:00,Portugal -> Moçambique,158.42,68.793,0.0425,C1330
306,2024-01-16 16:00:00,Reino Unido -> Quénia,436.76,150.6374,0.0109,C977
307,2024-03-11 21:00:00,Reino Unido -> Quénia,50.32,155.7083,0.0181,C2800
308,2024-03-24 07:00:00,EUA -> Brasil,544.11,5.1754,0.0159,C2518
309,2024-08-01 17:00:00,EUA -> Brasil,928.27,5.1014,0.0299,C351
310,2024-04-08 02:00:00,Reino Unido -> Quénia,609.44,158.8766,0.0107,C1796
311,2024-04-11 09:00:00,Reino Unido -> Quénia,305.51,153.6241,0.0146,C2758
312,2024-02-29 17:00:00,EUA -> Brasil,548.16,5.4927,0.0249,C1
313,2024-10-20 18:00:00,EUA -> Brasil,251.79,5.2496,0.0154,C2406
314,2024-12-24 19:00:00,Portugal -> Moçambique,75.39,68.2534,0.0254,C1202
315,2024-04-05 03:00:00,EUA -> Brasil,759.4,5.0528,0.0292,C1646
